epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.995943,0.284167,1.875188,0.280778,0.001,28.5354
2,1.573027,0.505,1.60838,0.449244,0.001,17.615
3,1.206959,0.6475,1.451093,0.481641,0.001,2.5703
4,0.946233,0.750833,1.617308,0.511879,0.001,3.0586
5,0.700165,0.835,1.465652,0.518359,0.001,2.6338
6,0.523654,0.904167,1.574865,0.488121,0.0005,2.5921
7,0.370894,0.946667,1.260635,0.602592,0.0005,2.5749
8,0.299941,0.959167,1.313031,0.611231,0.0005,3.1233
9,0.231201,0.975,1.421158,0.561555,0.0005,3.7097
10,0.204343,0.9825,1.362763,0.576674,0.00025,2.8049
11,0.167765,0.986667,1.324078,0.578834,0.00025,2.3638
